jobPosition,companyName,jobLocation,Category,subCategory,detailsLink
Sr Game Designer,Aristocrat,"Gurgaon, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746555200/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=QJQLZNt2PgWmdRuDi4piZg%3D%3D&trk=flagship3_search_srp_jobs
Visual Identity SCORE reviewer 1,EY,"Gurugram, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746694845/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=ghNnaqzdCf3mjdNskSMhtA%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,Zynga,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2745686735/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=rZ8JqjqyM90awSBsgbHicg%3D%3D&trk=flagship3_search_srp_jobs
Game Engine Software Developer,Machani Group,"Bangalore Urban, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746681059/?eBP=CwEAAAF8d4CVSvplVrPMGh4IA3xoJ_Uxyi9289ld7lu7KLtw3IPMY-0bBVtVXTw_6TOozObitAwN2U7reuN5LiOkYqPX5WMnRP8JQwoKJo0CKRkYVmoUUsWcV-JRqQI90d5fsk2pGj1YI9x5590R0iwGY6bpznrziC2UHIuZtKYXWdcpUufvCDIw0Ryab5IsrefFp312au21-HHwnghm_CUiddkZzeIfqi2tHmiHQnG_g4nQ8n5hcjo0QB5m8XNaFTCiYGqloeUp3-P3SyZsNYLE3lywGniWG-tj4QC_kP4oMzXGr_vhCO6bEC1RBkuNqBEihoX9PKjYSPZqLghq_6woE0JRoOfnnUNVBZyfpqSlRA&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=m%2F6aElR9A%2BVz7cnHqoa5hg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,OneFitPlus,"Hyderabad, Telangana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2693603686/?eBP=CwEAAAF8d4CVSpVjjY--v8sLorNEqoGcSPJDGoHkavPsb_mtQnAb4LouZhoHABkPMq_UmH9RNPcQAuYRtOp2U4kqsNydo6kNF_ntGONkzgOoq3ra5DtAU0qu3wEDN6PfmwEdixyZvBJe9Qg1EjyJ3ieKlLE2LAPy6rDbMU8vn2pm7xApumf_iUKtfyb3J5QAQEjVyFqIuPXXQXOUUL1SUSca5Fi2DX8bPp_EqRzmbcWC1GCIO5zGZwxU-7pMP3jdStd731T2ZUysKciZOXoSVMuOGmDR8XELOo18CFKSdPQQk5lbKg8GrYXYNiFZy9du6CE7vF1RLphxdkAKRvwyh4DfKikvqFMLccFBM3RiHUPUnZnB1xezlw0&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=VJ6YbJzHlJvDKW3yVZG67w%3D%3D&trk=flagship3_search_srp_jobs
Content Writer & Social Media Designer,Writeen,"Surat, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2747326539/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=j3%2F97%2B1dXWZrBmt3%2FZcqmg%3D%3D&trk=flagship3_search_srp_jobs
Associate Game Designer,Reliance Games,"Pune, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2729439596/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=xcbBCNXB6Gtd6IWe576SNQ%3D%3D&trk=flagship3_search_srp_jobs
LOGO DESIGNER,RISHABH PIXXEL,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749998507/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=hGvANgRqT3s8tjllLu%2Biqg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Todquest Enterprises,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746632530/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=IN8lFhApk7QGqzyljAY2jQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,Serves Solution,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746673632/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=yfdH%2B6ca6ywkONzAM1AKQw%3D%3D&trk=flagship3_search_srp_jobs
Game Tester (Unity),Hopscotch Health,"Mumbai, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749125716/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=7pzgaOWLee8RAUTUJPh7lw%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Infocom Software Pvt. Ltd.,"Kochi, Kerala, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2753753866/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=v%2ByRgKjt1N45S2qDg4Anyg%3D%3D&trk=flagship3_search_srp_jobs
Jr. Designer & Jr. Merchant,Creative Garments Pvt. Ltd.,"Gurugram, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744629934/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=0fKrLZhntqWudzn2O3H01Q%3D%3D&trk=flagship3_search_srp_jobs
Casual Games Monetisation Designer,Kwalee,"Bangalore Urban, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744641437/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=VXlF5am%2BNKpbs8NwtGtxlg%3D%3D&trk=flagship3_search_srp_jobs
SR. Game Designer,serve solution service,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749992013/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=94lGjfxoStTn9QmdoYUyGg%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,PeakMind.in,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749967205/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=iQwlUIi2DDJmUX7H3TNZvw%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,India Report Card Media Pvt. Ltd,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2753388875/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=eo%2Bilooihub3f12xIr5huA%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,99Games,"Udupi, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2427096750/?eBP=CwEAAAF8d4CZkubSO5KeRZ1XFHNWRDWCamO8ypPc5GXHY_Rx8IJz-a49VFEQD3tSqG-_uekbKy-z1EWEXcQgEOMbnCa9S0uEdKR0H0a_NYFiAI_r_O6XeQiLAAmeWQp6NL3YCKnlQ6o7zF1XAsZRaFLBqMSzS9xZkyC636ZJFMJEnpPCS3d8XFUIMZS3S0YktBM8kghMNMbDhme8gj12ZsJBLVSG2fUGDQvsbEoessRVt_yy6pBcdtZNrmgmuQltPV9500n3_TO0cPLh6ST7XlrIz5c2HVKcqe7QpqDS8YEeiQjMRyThKBZeRWOFKBsyQPB4PkDL6sKcDig90ae73HkS8IYEnym_bR92Vfvra7BKCNEQ3tWqWxvwKIMNiCH2V0s&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=s2Z5WvuXw3%2BdRcbhyjBL%2Fg%3D%3D&trk=flagship3_search_srp_jobs
Game Developer,Omnaya Studios,"Ahmedabad, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749989991/?eBP=CwEAAAF8d4CZkgz_jwGhf9uWXTJkQPHkiQtU-iSLjYXoPymxknz_6lVXT_TC31FTM3S3Osd8ZYtNb7l5GhPbwyGdSNk0-vsHXnIo4g1K28St2q2iC7o2qMyiBhOT73THY7a8mt-t_xUwlwm03XjA6jE73H8X1mENhbDPXBZklIaDYLO6VcaHHC6fKZxHIuxTFBL8rpEUt2GOyFpWNUwHJYHP-ECHvtUbNH49tTQD7riDv__IEuE71fcxAKepa29WoTR5YdDEWQg6i_kGeF6zS11qOYWq3yxlOgxrL7ANiy8QtBMgTg-NeYx2pys4Vyvptq7D9BkboVBL9SEDEcK-jiQiudwnC8ehcW_ZKsto8E8&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=4OpQLoVKQx4W%2Bp1M4JroBw%3D%3D&trk=flagship3_search_srp_jobs
Student,ONLINE WORK FROM HOME OPPORTUNITY,"Indore, Madhya Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2743920041/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=Uru1EqS7tIpKLNS4NYzdug%3D%3D&trk=flagship3_search_srp_jobs
Unity game Developer,Poize Games Pvt Ltd,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749975940/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=ijm9PoB0IAvysCPSa01gOg%3D%3D&trk=flagship3_search_srp_jobs
Sr Game Mathematician/Designer II,Aristocrat,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744442970/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=9qAEEdztUAYuAIZtzuZHiQ%3D%3D&trk=flagship3_search_srp_jobs
Project Assistant (NEXT GENERATION SEQUENCING AND BIOINFORMATICS)),ICMR-National Institute of Research in Tribal Health,"Jabalpur, Madhya Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744713799/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=B0OAiZpWPgZK2IjzfxNWvw%3D%3D&trk=flagship3_search_srp_jobs
Game Tester,Rockstar Games,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2000060318/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=sc1ah0YbTOH%2BIFYaA8%2FPUg%3D%3D&trk=flagship3_search_srp_jobs
